"Product Version";"Official Name";"Product";"Product Line";"Product Category";"Add-On Product Version";"Current Status";"Restricted available (productive use not allowed)";"Restricted available (productive use allowed)";"Unrestricted available";"Readiness Status for SAP HANA";"Readiness Date for SAP HANA";"End of mainstream maintenance";"End of extended maintenance";"End of Priority-One Support";"End of SAP S/4HANA Cloud Safekeeper Service";"URL to Product Version in SAP Support Portal. Disclaimer: Please notice that always the online information on SAP Support Portal is the recent information!"
"EHP6 FOR SAP LEARNING SOL 6.0";"SAP enhancement package 6 for SAP Learning Solution 6.0";"SAP LEARNING SOLUTION";"SAP Learning Solution";"Human Capital Management";"Yes";"Unrestricted available";"";"08.11.2011";"07.05.2012";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001610";
"EHP7 FOR SAP FSCM 6.0";"SAP enhancement package 7 for SAP Financial Supply Chain Management 6.0";"SAP FSCM";"SAP Financial Supply Chain Management";"Supply Chain Management";"Yes";"Unrestricted available";"";"13.08.2013";"13.08.2013";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001486";
"EMPCENTERSUITE_WORKFORCE 20.2";"SAP Time and Attendance Management 20.2 by Workforce Software";"EMPCENTER SUITE BY WORKFORCE";"SAP Time and Attendance Management by WorkForce Software";"Human Capital Management";"No";"Unrestricted available";"";"31.08.2023";"31.08.2023";"";"";"30.09.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006981";
"ENERGY CALC GAS CONSUMP 1.0";"German gas solution 1.0";"ENERGY CALC GAS CONSUMP";"German gas solution";"Product Lifecycle Management";"Yes";"Restricted available  (productive use allowed)";"";"07.09.2009";"";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900004534";
"ENTITLEMENT MANAGEMENT 2.0";"SAP Entitlement Management 2.0";"ENTITLEMENT MANAGEMENT";"SAP Billing and Revenue Innovation Management";"Financial Management";"Yes";"Restricted available  (productive use allowed)";"";"27.05.2023";"";"Ready";"27.05.2023";"27.05.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900007431";
"EVENT ENABL_SAP FIELDGLASS 1.0";"event enablement add-on 1.0 for SAP Fieldglass solutions";"EVENT ENABL_SAP FIELDGLASS";"SAP Fieldglass Vendor Management System";"Supplier Relationship Management";"Yes";"Unrestricted available";"";"17.06.2020";"17.06.2020";"";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005161";
"EXP: SAP TRAVEL OD MOBILE 1402";"SAP Cloud for Travel and Expense 1402, mobile version";"EXP: SAP TRAVEL ONDEM MOBILE";"SAP Cloud for Travel and Expense";"Financial Management";"No";"Restricted available  (productive use allowed)";"";"14.02.2014";"";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008842";
"EXP: SAP TRAVEL OD MOBILE 1411";"SAP Cloud for Travel and Expense 1411, mobile version";"EXP: SAP TRAVEL ONDEM MOBILE";"SAP Cloud for Travel and Expense";"Financial Management";"No";"Restricted available  (productive use allowed)";"";"24.10.2014";"";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000153";
"FGL LESSEE SOLUTION 1.0";"SAP Lessee Contract and Accounting Management 1.0";"FGL LESSEE SOLUTION";"SAP Lessee Contract Management and Accounting";"Financial Management";"Yes";"Restricted available  (productive use allowed)";"";"23.12.2015";"";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000460";
"FIELD DATA CAPTURE FOR MII 2.0";"field data capture for upstream allocations with SAP MII 2.0";"FIELD DATA CAPTURE FOR MII";"SAP Digital Manufacturing";"Supply Chain Management";"Yes";"Unrestricted available";"";"14.11.2011";"07.05.2012";"On Request";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900004521";
"FIELDGLASS VMS 2405";"SAP Fieldglass Vendor Management System 2405";"FIELDGLASS VMS";"SAP Fieldglass Vendor Management System";"Supplier Relationship Management";"No";"Undefined";"";"";"";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008612";
"FIREFIGHTER 4.0_700";"SAP Firefighter 4.0 for SAP NetWeaver 7.0";"VIRSA FIREFIGHTER FOR SAP";"SAP Access Control";"Financial Management";"Yes";"In customer-specific maintenance";"";"25.09.2006";"25.09.2006";"";"";"31.03.2013";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900000413";
"INTELLCLINICSUPPLY CLOUD 1.0";"SAP Intelligent Clinical Supply Management for planning 1.0";"INTELLCLINICSUPPLY CLOUD";"SAP Intelligent Clinical Supply Management";"Supply Chain Management";"Yes";"Restricted available  (productive use allowed)";"";"31.03.2022";"";"Ready";"31.03.2022";"30.09.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006191";
"INTELLIGENT AGRI CLOUD 1.0";"SAP Intelligent Agriculture 1.0";"INTELLIGENT AGRICULTURE CLOUD";"SAP Intelligent Agriculture";"Technology Platform";"Yes";"Restricted available  (productive use allowed)";"";"31.01.2022";"";"Ready";"31.01.2022";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900005782";
"MDK CLIENT 24.4";"mobile development kit client 24.4";"MOBILE DEVELOPMENT KIT CLIENT";"SAP Business Technology Platform";"Technology Platform";"No";"Unrestricted available";"";"18.04.2024";"18.04.2024";"";"";"18.04.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007653";
"MDK CLIENT 24.7";"mobile development kit client 24.7";"MOBILE DEVELOPMENT KIT CLIENT";"SAP Business Technology Platform";"Technology Platform";"No";"Unrestricted available";"";"19.07.2024";"19.07.2024";"";"";"18.04.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008831";
"MDK CLIENT 25.6";"mobile development kit client 25.6";"MOBILE DEVELOPMENT KIT CLIENT";"SAP Business Technology Platform";"Technology Platform";"No";"Unrestricted available";"";"11.06.2025";"11.06.2025";"";"";"11.06.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900009591";
"MOB INVENTORY MANAGER 4.3.0";"SAP Inventory Manager 4.3.0";"MOB INVENTORY MANAGER";"SAP Inventory Manager";"Supply Chain Management";"No";"Unrestricted available";"";"15.09.2016";"15.09.2016";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000913";
"MOB SAP FIORI CLIENT IOS 1.14";"SAP Fiori Client 1.14 for iOS";"MOB SAP FIORI CLIENT IOS";"SAP Fiori";"Technology Platform";"No";"Unrestricted available";"";"10.07.2020";"10.07.2020";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900004841";
"MOB SAP JAM AND 2.0";"SAP Jam for Android 1905";"MOB SAP JAM AND";"SAP Jam";"Technology Platform";"No";"Unrestricted available";"";"20.06.2019";"20.06.2019";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900003713";
"MOS BILLING 1.0";"meter operation service billing for German electricity and gas utilities 1.0";"MOS BILLING";"meter operation service billing";"Customer Relationship Management";"Yes";"Restricted available  (productive use allowed)";"";"31.07.2017";"";"Ready";"31.07.2017";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900002221";
"ONLINE APP SUBMISSION MGMT 4.0";"online application submission management 4.0";"ONLINE APP SUBMISSION MGMT";"online application submission management";"Customer Relationship Management";"Yes";"Restricted available  (productive use allowed)";"";"28.04.2016";"";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000863";
"PLM SYST INTEG FOR 3DX 3.0";"PLM system integration, add-on for 3DEXPERIENCE 3.0";"PLM SYST INTEG FOR 3DX";"PLM system integration";"Product Lifecycle Management";"No";"Unrestricted available";"";"09.09.2024";"09.09.2024";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008855";
"PLM SYST INTEG FOR 3DX 3.1";"PLM system integration, add-on for 3DEXPERIENCE 3.1";"PLM SYST INTEG FOR 3DX";"PLM system integration";"Product Lifecycle Management";"No";"Unrestricted available";"";"06.12.2024";"06.12.2024";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900009113";
"PRESENTATION DESIGN 2016";"SAP Crystal Presentation Design 2016";"PRESENTATION DESIGN(XCELSIUS)";"SAP BusinessObjects Dashboards";"Technology Platform";"No";"Out of maintenance";"";"13.11.2015";"08.03.2016";"";"";"31.12.2020";"";"30.09.2021";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000766";
"QUO UNDERWRITING INS 2.0";"SAP Product, Quotation, and Underwriting Management 2.0";"QUO UNDERWRITING INS";"SAP Product, Quotation, and Underwriting Management";"Financial Management";"Yes";"Restricted available  (productive use allowed)";"";"07.10.2020";"";"Ready";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005125";
"QUO UNDERWRITING INS 2022";"SAP Product, Quotation, and Underwriting Management 2022";"QUO UNDERWRITING INS";"SAP Product, Quotation, and Underwriting Management";"Financial Management";"Yes";"Unrestricted available";"";"16.11.2022";"16.11.2022";"Ready";"";"30.04.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006772";
"RETAIL PROMO ANALYZER 1.0";"retail promotion analyzer 1.0";"RETAIL PROMO ANALYZER";"retail promotion analyzer";"Technology Platform";"Yes";"Restricted available  (productive use allowed)";"";"31.08.2020";"";"Ready";"30.06.2020";"31.12.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900004774";
"RTLONSHELFAVAIL INT 2.0";"SAP On-Shelf Availability integration 2.0";"RTLONSHELFAVAIL INT";"SAP On-Shelf Availability";"Supply Chain Management";"Yes";"In customer-specific maintenance";"";"22.07.2013";"12.05.2014";"";"";"31.12.2020";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006985";
"S/4 DOC PRES BY OT 16.6.5";"SAP Document Presentment 16.6.5 by OpenText for SAP S/4HANA";"S/4HANA DOC PRESENT BY OT";"SAP Document Presentment by OpenText";"Technology Platform";"Yes";"Unrestricted available";"";"31.03.2022";"31.03.2022";"";"";"30.11.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006284";
"S/4 DOC PRES BY OT 16.6.9";"SAP Document Presentment 16.6.9 by OpenText for SAP S/4HANA";"S/4HANA DOC PRESENT BY OT";"SAP Document Presentment by OpenText";"Technology Platform";"Yes";"Unrestricted available";"";"19.06.2024";"19.06.2024";"";"";"29.09.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008691";
"S/4 INSURANCE FS-RI 8.0";"SAP Reinsurance Management 8.0 for SAP S/4HANA";"SAP S/4HANA INSURANCE FS-RI";"SAP S/4HANA";"Enterprise Management";"Yes";"Unrestricted available";"";"30.11.2017";"05.06.2018";"Ready";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900002349";
"S/4 W&R BY PROLOGA 1809";"SAP S/4HANA for waste and recycling 1809 by PROLOGA";"S/4 WASTE & RECYCLING PROLOGA";"SAP S/4HANA";"Enterprise Management";"Yes";"Unrestricted available";"";"11.06.2019";"11.06.2019";"";"";"31.12.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900003941";
"S/4H ABS GM BY VISTEX 2023V2";"SAP Grower Management for Perishables 2023V2 by Vistex for SAP S/4HANA";"S/4HANA ABS GM BY VISTEX";"SAP Grower Management for Perishables by Vistex";"Supply Chain Management";"Yes";"Unrestricted available";"";"27.03.2025";"27.03.2025";"";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900009464";
"S/4HANA ABS FM BY VISTEX 2023";"SAP Farm Management 2023 by Vistex for SAP S/4HANA";"S/4HANA ABS FM BY VISTEX";"SAP Farm Management by Vistex";"Supply Chain Management";"Yes";"Unrestricted available";"";"25.03.2024";"25.03.2024";"";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007587";
"S/4HANA ACCTG INTEG 1610";"SAP S/4HANA for accounting integration 1610";"S/4HANA ACCTG INTEG";"SAP S/4HANA";"Enterprise Management";"Yes";"Unrestricted available";"";"22.06.2018";"22.06.2018";"Ready";"22.06.2018";"31.12.2025";"";"";"31.03.2028";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900002701";
"S/4HANA DATAMAIN VISTEX 2023V2";"SAP Data Maintenance 2023V2 by Vistex, pricing option and resources option for SAP S/4HANA";"S/4HANA DATAMAINT VISTEX";"SAP Data Maintenance by Vistex";"Technology Platform";"Yes";"Unrestricted available";"";"08.11.2024";"08.11.2024";"Ready";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007973";
"S/4HANA DATAMAINT VISTEX 2022";"SAP Data Maintenance 2022 by Vistex, pricing option and resources option for SAP S/4HANA";"S/4HANA DATAMAINT VISTEX";"SAP Data Maintenance by Vistex";"Technology Platform";"Yes";"Unrestricted available";"";"01.12.2022";"01.12.2022";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006682";
"S/4HANA DATAMAINT VISTEX 2023";"SAP Data Maintenance 2023 by Vistex, pricing option and resources option for SAP S/4HANA";"S/4HANA DATAMAINT VISTEX";"SAP Data Maintenance by Vistex";"Technology Platform";"Yes";"Unrestricted available";"";"28.11.2023";"28.11.2023";"Ready";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008435";
"S/4HANA IA_PB BY VISTEX 2021";"SAP Incentive Administration and SAP Paybacks and Chargebacks by Vistex for SAP S/4HANA 2021";"S/4HANA IA_PB BY VISTEX";"SAP Incentive Administration by Vistex and SAP Paybacks and Chargebacks by Vistex";"Customer Relationship Management";"Yes";"Unrestricted available";"";"29.09.2022";"29.09.2022";"Ready";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006403";
"S/4HANA TM LTA CSL 2001";"SAP Transportation Management, lead to agreement for container shipping liners for SAP S/4HANA 2001";"S/4HANA TM LTA CSL";"SAP Transportation Management";"Supply Chain Management";"Yes";"Restricted available  (productive use allowed)";"";"31.01.2020";"";"Ready";"31.01.2020";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900004441";
"S/4HANA TM ORDER-CASH CSL 2012";"SAP Transportation Management, order to cash for container shipping liners for SAP S/4HANA 2012";"S/4HANA TM ORDERTOCASH CSL";"SAP Transportation Management";"Supply Chain Management";"Yes";"Restricted available  (productive use allowed)";"";"15.12.2020";"";"Ready";"15.12.2020";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900005041";
"S/4HANA YARD LOGISTICS 2009";"SAP Yard Logistics 2009 for SAP S/4HANA";"S/4HANA YARD LOGISTICS";"SAP Yard Logistics";"Supply Chain Management";"Yes";"Unrestricted available";"";"28.08.2020";"31.08.2020";"Ready";"28.08.2020";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900004542";
"S4H UTOPIA MDG-EAM-AIW EXT2023";"SAP Asset Information Workbench 2023 by Prometheus Group for SAP S/4HANA";"S/4HANA UTOPIA MDG-EAM-AIW EXT";"SAP Asset Information Workbench by Prometheus Group";"Enterprise Management";"Yes";"Unrestricted available";"";"29.02.2024";"29.02.2024";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007617";
"SAP ADDR DIR US - DPV";"SAP address directory for the United States, monthly version for DPV 1.0";"SAP ADDR DIR US - DPV";"SAP address directory";"Technology Platform";"Yes";"Unrestricted available";"";"16.07.2008";"16.07.2008";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900003163";
"SAP ADDR DIR US - LACSLINK";"SAP address directory for the United States, monthly version for Lacslink 1.0";"SAP ADDR DIR US - LACSLINK";"SAP address directory";"Technology Platform";"Yes";"Unrestricted available";"";"16.07.2008";"16.07.2008";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900003166";
"SAP ADDR DIR US - Z4CHANGE";"SAP address directory, monthly version for Z4change 1.0";"SAP ADDR DIR US - Z4CHANGE";"SAP address directory";"Technology Platform";"Yes";"Unrestricted available";"";"17.07.2008";"17.07.2008";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900003173";
"SAP ADDR POLAND 4.X";"SAP address directory 4.X for Poland";"SAP ADDR DIR POLAND";"SAP address directory";"Technology Platform";"Yes";"Unrestricted available";"";"15.10.2010";"15.10.2010";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900003296";
"SAP AGILE DATA PREPARATION 1.0";"SAP Agile Data Preparation 1.0, on-premise edition";"SAP AGILE DATA PREPARATION";"SAP Agile Data Preparation";"Technology Platform";"No";"In customer-specific maintenance";"";"11.05.2015";"30.10.2015";"";"";"30.04.2022";"";"30.04.2024";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000454";
"SAP AII 4.0";"SAP Auto-ID Infrastructure 4.0";"SAP AUTO-ID INFRASTRUCTURE";"SAP Auto-ID Infrastructure";"Product Lifecycle Management";"Yes";"In customer-specific maintenance";"";"24.10.2005";"23.06.2006";"";"";"30.04.2010";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001240";
"SAP APO 3.0A";"SAP Advanced Planning and Optimization 3.0A";"SAP APO";"SAP Advanced Planning and Optimization";"Supply Chain Management";"No";"In customer-specific maintenance";"";"";"31.01.2001";"";"";"31.12.2006";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900000044";
"SAP APPAREL AND FOOTWEAR 6.0";"SAP Apparel and Footwear 6.0";"SAP APPAREL AND FOOTWEAR";"SAP Apparel and Footwear";"Product Lifecycle Management";"Yes";"Unrestricted available";"";"18.12.2006";"25.06.2007";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900000282";
"SAP BIG DATA PLATF. TELCO 2.0";"SAP Customer Profitability Analytics 2.0";"SAP BIG DATA PLATF. TELCO";"SAP Customer Profitability Analytics";"Technology Platform";"Yes";"In customer-specific maintenance";"";"23.02.2018";"";"Ready";"";"31.12.2024";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002296";
"SAP BTP SDK 24.4 FOR IOS";"SAP BTP SDK 24.4 for iOS";"SAP BTP SDK FOR IOS";"SAP Business Technology Platform";"Technology Platform";"No";"Restricted available  (productive use allowed)";"12.01.2024";"05.04.2024";"";"";"";"05.04.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008403";
"SAP BUSINESS CONNECTOR 4.6";"SAP Business Connector 4.6";"SAP BUSINESS CONNECTOR";"SAP NetWeaver";"Technology Platform";"No";"In customer-specific maintenance";"";"25.03.2002";"25.03.2002";"";"";"31.12.2008";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001262";
"SAP BUSINESS ONE 8.8";"SAP Business One 8.8";"SAP BUSINESS ONE";"SAP Business One";"Enterprise Management";"No";"In customer-specific maintenance";"";"04.08.2009";"03.05.2010";"";"";"30.04.2011";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001586";
"SAP BW 2.1C";"SAP Business Information Warehouse 2.1C";"SAP BW";"SAP NetWeaver";"Technology Platform";"No";"In customer-specific maintenance";"15.11.2000";"";"18.12.2000";"";"";"31.12.2005";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900000182";
"SAP CAM EXPENSE RECOVERY 1.0";"SAP Common Area Maintenance Expense Recovery 1.0";"SAP CAM EXPENSE RECOVERY";"SAP Common Area Maintenance Expense Recovery";"Financial Management";"Yes";"Unrestricted available";"";"23.09.2011";"20.12.2011";"Ready";"02.05.2014";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900005224";
"SAP CITIZEN ENGAGEMENT ACC 8.0";"SAP Commerce, citizen engagement accelerator 8.0";"SAP CITIZEN ENGAGEMENT ACC";"SAP Commerce";"Customer Relationship Management";"Yes";"Unrestricted available";"";"16.11.2022";"16.11.2022";"";"";"31.07.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006680";
"SAP CLOUD APP STUDIO 2305";"SAP Cloud Applications Studio 2305";"SAP CLOUD APPLICATIONS STUDIO";"SAP Cloud Applications Studio";"Technology Platform";"No";"Unrestricted available";"22.04.2023";"06.05.2023";"20.05.2023";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006831";
"SAP CLOUD APP STUDIO 2408";"SAP Cloud Applications Studio 2408";"SAP CLOUD APPLICATIONS STUDIO";"SAP Cloud Applications Studio";"Technology Platform";"No";"Unrestricted available";"";"03.08.2024";"17.08.2024";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007962";
"SAP CM BY DIGITALROUTE 4.1";"SAP Convergent Mediation 4.1 by DigitalRoute";"SAP CM BY DIGITALROUTE";"SAP Billing and Revenue Innovation Management";"Financial Management";"No";"Unrestricted available";"";"20.06.2019";"20.06.2019";"Ready";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900004071";
"SAP CM BY DIGITALROUTE 4.2";"SAP Convergent Mediation 4.2 by DigitalRoute";"SAP CM BY DIGITALROUTE";"SAP Billing and Revenue Innovation Management";"Financial Management";"No";"Unrestricted available";"";"28.05.2020";"28.05.2020";"Ready";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900004810";
"SAP CM BY DIGITALROUTE 4.3";"SAP Convergent Mediation 4.3 by DigitalRoute";"SAP CM BY DIGITALROUTE";"SAP Billing and Revenue Innovation Management";"Financial Management";"No";"Unrestricted available";"";"26.02.2021";"26.02.2021";"Ready";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900005305";
"SAP CORE CEE 110_603";"SAP ERP, localization for CEE countries 110_603";"SAP CORE CEE";"SAP ERP";"Enterprise Management";"Yes";"Unrestricted available";"";"30.06.2008";"30.06.2008";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900001184";
"SAP CORE CEE 110_720";"SAP ERP, localization for CEE countries 110_720";"SAP CORE CEE";"SAP ERP";"Enterprise Management";"Yes";"Unrestricted available";"";"30.03.2015";"30.03.2015";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000388";
"SAP CP QUOTATION ENHANCEM 2508";"SAP S/4HANA for supplier quotation management 2508, enhanced version";"SAP CP QUOTATION ENHANCEM";"SAP S/4HANA";"Enterprise Management";"Yes";"Restricted available  (productive use allowed)";"";"16.08.2025";"";"Ready";"16.08.2025";"15.11.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900008468";
"SAP CP QUOTATION ENHANCEM 2511";"SAP S/4HANA for supplier quotation management 2511, enhanced version";"SAP CP QUOTATION ENHANCEM";"SAP S/4HANA";"Enterprise Management";"Yes";"Not yet available";"";"Estimated for Q4/2025";"";"Ready";"Estimated for Q4/2025";"15.02.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900009653";
"SAP CR. CHANNEL ORDER MGMT 2.0";"SAP Cross-Channel Order Management for Retail 2.0";"SAP CR. CHANNEL ORDER MGMT";"SAP Cross Channel Order Management for Retail";"Customer Relationship Management";"Yes";"Restricted available  (productive use allowed)";"";"13.09.2013";"";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008683";
"SAP CRYSTAL SERVER 2016";"SAP Crystal Server 2016";"SAP CRYSTAL SERVER";"SAP Crystal Server";"Technology Platform";"No";"Out of maintenance";"";"13.11.2015";"08.03.2016";"";"";"31.12.2022";"";"31.12.2024";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000764";
"SAP DAM BY OPENTEXT 20.4";"SAP Digital Asset Management 20.4 by OpenText";"SAP DAM BY OPENTEXT";"SAP Commerce Cloud";"Customer Relationship Management";"Yes";"Unrestricted available";"";"26.07.2021";"26.07.2021";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005872";
"SAP DAM BY OPENTEXT 23.4";"SAP Digital Asset Management 23.4 by OpenText";"SAP DAM BY OPENTEXT";"SAP Commerce Cloud";"Customer Relationship Management";"Yes";"Unrestricted available";"";"12.02.2024";"12.02.2024";"";"";"31.12.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007429";
"SAP DAM BY OT 21.4 CLOUD";"SAP Digital Asset Management Cloud 21.4 by OpenText";"SAP DAM BY OT ONDEMAND";"SAP Commerce Cloud";"Customer Relationship Management";"Yes";"Unrestricted available";"";"29.08.2022";"29.08.2022";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900007031";
"SAP DAM BY OT 22.4 CLOUD";"SAP Digital Asset Management Cloud by OpenText 22.4";"SAP DAM BY OT ONDEMAND";"SAP Commerce Cloud";"Customer Relationship Management";"Yes";"Unrestricted available";"";"11.07.2023";"11.07.2023";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900007792";
"SAP DAM BY OT 23.4 CLOUD";"SAP Digital Asset Management Cloud 23.4 by OpenText";"SAP DAM BY OT ONDEMAND";"SAP Commerce Cloud";"Customer Relationship Management";"Yes";"Unrestricted available";"";"12.02.2024";"12.02.2024";"";"";"31.12.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007430";
"SAP DAM BY OT 24.4 CLOUD";"SAP Digital Asset Management Cloud 24.4 by OpenText";"SAP DAM BY OT ONDEMAND";"SAP Commerce Cloud";"Customer Relationship Management";"Yes";"Unrestricted available";"";"19.12.2024";"19.12.2024";"";"";"31.10.2029";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900008344";
